mortgage,mileage,year,area_of_use,vehicle_condition,ad_date,lr_fender_status,fuel_tank,lf_fender_status,front_bumper_status,inspection,luggage_volume,confiscation,Brand,drive_type,rf_door_status,Model,fuel_consumption,rr_door_status,series,paint_replaced,engine_capacity,trade_in,transmission,location_1,brand,hood_status,color,body_type,rf_fender_status,top_speed,cylinder,model,Year,rear_bumper_status,acceleration_0_100,valve,fuel_type,max_torque,seller_type,ad_id,location_2,Transmission,engine_power,rr_fender_status,gear,currency_date,ad_price
,192.000 km,1994,,İkinci El,22 Kasım 2024,,Unspecified,,,,,,,Unspecified,,,Unspecified,,3 Serisi,2 değişen,Unspecified,Takasa Uygun,Düz,Güçlükaya Mh. Keçiören,BMW,,Bordo,Sedan,,,,320i,,,,,LPG & Benzin,,Sahibinden,27122882, Ankara,,Unspecified,,,,340.000 TL
,150.000 km,2018,,İkinci El,22 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 3 boyalı",1499 cc,Unspecified,Otomatik,Yenişehir Mh. Pendik,BMW,,Füme,Sedan,,,,318i Premium Line,,,,,Benzin,,Sahibinden,27128285, İstanbul,,136 hp,,,,1.225.000 TL
,322.000 km,2001,,İkinci El,22 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1991 cc,Takasa Uygun,Düz,Karapürçek Mh. Altındağ,BMW,,Mavi (metalik),Sedan,,,,320i,,,,,LPG & Benzin,,Sahibinden,27127574, Ankara,,170 hp,,,,620.000 TL
,230.000 km,2014,,İkinci El,22 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1598 cc,Unspecified,Otomatik,Karadeniz Mh. Gaziosmanpaşa,BMW,,Beyaz,Sedan,,,,320i ED Modern Line Plus,,,,,Benzin,,Sahibinden,27125541, İstanbul,,170 hp,,,,1.030.000 TL
,325.000 km,1998,,İkinci El,22 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1596 cc,Unspecified,Otomatik,2 Nolu Beşirli Mh. Ortahisar,BMW,,Siyah,Sedan,,,,316i Standart,,,,,LPG & Benzin,,Sahibinden,27125207, Trabzon,,102 hp,,,,255.000 TL
,233.000 km,2013,,İkinci El,22 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1598 cc,Unspecified,Otomatik,İnönü Mh. Yenimahalle,BMW,,Beyaz,Sedan,,,,320i ED Sport Line,,,,,Benzin,,Sahibinden,27123179, Ankara,,170 hp,,,,1.170.000 TL
,241.000 km,2011,,İkinci El,22 Kasım 2024,,Unspecified,,,,,,,Unspecified,,,Unspecified,,3 Serisi,"1 değişen, 1 boyalı",Unspecified,Unspecified,Otomatik,Güzeltepe Mh. Çankaya,BMW,,Siyah,Sedan,,,,328i xDrive,,,,,Benzin,,Sahibinden,27120745, Ankara,,Unspecified,,,,945.000 TL
,204.500 km,2012,,İkinci El,22 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1995 cc,Unspecified,Otomatik,Fatih Mh. Merkez,BMW,,Siyah,Sedan,,,,320d Sport,,,,,Dizel,,Sahibinden,27120715, Batman,,184 hp,,,,1.100.000 TL
,232.000 km,2013,,İkinci El,22 Kasım 2024,,57 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1995 cc,Takasa Uygun Değil,Otomatik,Hürriyet Mh. Onikişubat,BMW,,Siyah,Sedan,,,,320d M Sport,,,,,Dizel,,Galeriden,26973269, Kahramanmaraş,,184 hp,,,,1.050.000 TL
,176.000 km,2013,,İkinci El,22 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1598 cc,Takasa Uygun,Otomatik,Adnan Kahveci Mh. Beylikdüzü,BMW,,Beyaz,Sedan,,,,316i Modern Line,,,,,Benzin,,Galeriden,26791245, İstanbul,,136 hp,,,,1.115.000 TL
,303.000 km,2013,,İkinci El,22 Kasım 2024,,57 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1995 cc,Takasa Uygun,Otomatik,Dokuz Eylül Mh. Gaziemir,BMW,,Siyah,Sedan,,,,320d Standart,,,,,Dizel,,Galeriden,23151538, İzmir,,184 hp,,,,1.150.000 TL
,287.000 km,1994,,İkinci El,21 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,4 boyalı,1596 cc,Unspecified,Düz,Yıldırım Beyazıt Mh. Çerkezköy,BMW,,Yeşil (metalik),Sedan,,,,316i Standart,,,,,LPG & Benzin,,Sahibinden,25782440, Tekirdağ,,102 hp,,,,280.750 TL
,389.335 km,2001,,İkinci El,21 Kasım 2024,,63 lt,,,,,,,4WD (Sürekli),,,Unspecified,,3 Serisi,"1 değişen, 9 boyalı",2494 cc,Takasa Uygun Değil,Otomatik,Veysel Karani Mh. Sancaktepe,BMW,,Siyah,Sedan,,,,325xi Standart,,,,,Benzin,,Sahibinden,27121325, İstanbul,,192 hp,,,,515.000 TL
,120.000 km,2012,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,1 boyalı,1598 cc,Takasa Uygun,Otomatik,Velişaban Mh. Merkez,BMW,,Beyaz,Sedan,,,,316i Comfort,,,,,Benzin,,Sahibinden,27116881, Bayburt,,136 hp,,,,1.080.000 TL
,292.000 km,2007,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 2 boyalı",1597 cc,Takasa Uygun,Düz,Bahçelievler Mh. Merkez,BMW,,Siyah,Sedan,,,,316i Premium,,,,,Benzin,,Sahibinden,27120201, Çorum,,122 hp,,,,555.000 TL
,88.000 km,2015,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,2 değişen,1598 cc,Takasa Uygun,Otomatik,Küçükhacılar Köyü Merkez,BMW,,Beyaz,Sedan,,,,320i ED M Plus,,,,,Benzin,,Sahibinden,27117414, Isparta,,170 hp,,,,1.400.000 TL
,37.000 km,2010,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1995 cc,Unspecified,Otomatik,Ayazağa Mh. Sarıyer,BMW,,Siyah,Sedan,,,,320i Premium,,,,,Benzin,,Sahibinden,27116705, İstanbul,,170 hp,,,,1.625.000 TL
,152.000 km,2014,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1598 cc,Unspecified,Otomatik,100. Yıl Mh. Gönen,BMW,,Beyaz,Sedan,,,,320i ED Modern Line,,,,,Benzin,,Sahibinden,27116454, Balıkesir,,170 hp,,,,1.325.000 TL
,136.000 km,2010,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1995 cc,Unspecified,Otomatik,Çarşı Mh. Merkez,BMW,,Beyaz,Sedan,,,,320d Premium,,,,,Dizel,,Sahibinden,26500215, Elazığ,,177 hp,,,,1.150.000 TL
,325.000 km,1992,,İkinci El,21 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1796 cc,Takasa Uygun,Düz,Kızılpınar Mh. Çerkezköy,BMW,,Beyaz,Sedan,,,,318i Standart,,,,,LPG & Benzin,,Sahibinden,27115877, Tekirdağ,,113 hp,,,,300.000 TL
,374.000 km,1993,,İkinci El,21 Kasım 2024,,65 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"2 değişen, 10 boyalı",1991 cc,Unspecified,Düz,19 Mayıs OSB Tekkeköy,BMW,,Kırmızı,Sedan,,,,320i,,,,,LPG & Benzin,,Sahibinden,27115677, Samsun,,150 hp,,,,280.000 TL
,375.000 km,1997,,İkinci El,21 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1796 cc,Unspecified,Düz,Ayanoğlu Mh. Kepez,BMW,,Siyah,Sedan,,,,318is,,,,,LPG & Benzin,,Sahibinden,26498957, Antalya,,140 hp,,,,320.000 TL
,327.000 km,1996,,İkinci El,21 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı boyalı,1596 cc,Takasa Uygun Değil,Düz,Emek Fatih Sultan Mehmet Mh. Osmangazi,BMW,,Yeşil (metalik),Sedan,,,,316i Standart,,,,,Benzin,,Sahibinden,27114584, Bursa,,102 hp,,,,230.000 TL
,243.000 km,2006,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"2 değişen, 2 boyalı",1995 cc,Unspecified,Otomatik,Kılıçaslan Mh. Melikgazi,BMW,,Gri (metalik),Sedan,,,,320i Premium,,,,,Benzin,,Sahibinden,26482776, Kayseri,,150 hp,,,,730.000 TL
,159.000 km,2016,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1598 cc,Takasa Uygun,Otomatik,Kaşüstü Mh. Yomra,BMW,,Beyaz,Sedan,,,,320i ED M Plus,,,,,Benzin,,Sahibinden,25916067, Trabzon,,170 hp,,,,1.333.000 TL
,13.000 km,2023,,İkinci El,21 Kasım 2024,,Unspecified,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1401 - 1600 cm3,Takasa Uygun,Otomatik,Mustafa Kemal Paşa Mh. Avcılar,BMW,,Füme,Sedan,,,,320i Sport Line,,,,,Benzin,,Galeriden,26734587, İstanbul,,151 - 175 HP,,,,2.950.000 TL
,270.000 km,2008,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,11 boyalı,1597 cc,Unspecified,Düz,Devlet Mh. Çankaya,BMW,,Siyah,Sedan,,,,316i Premium,,,,,LPG & Benzin,,Sahibinden,27113343, Ankara,,122 hp,,,,550.000 TL
,135.000 km,2016,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 1 boyalı",1598 cc,Unspecified,Otomatik,Hunat Mh. Melikgazi,BMW,,Siyah,Sedan,,,,320i ED Luxury Line,,,,,Benzin,,Sahibinden,27112882, Kayseri,,170 hp,,,,1.270.000 TL
,29.000 km,2015,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1598 cc,Takasa Uygun Değil,Otomatik,Yenişehir Mh. Pendik,BMW,,Beyaz,Sedan,,,,320i ED Sport Line,,,,,Hibrit,,Sahibinden,25814728, İstanbul,,170 hp,,,,1.990.000 TL
,285.000 km,1999,,İkinci El,21 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı boyalı,1951 cc,Takasa Uygun,Düz,Yeni Mh. Didim,BMW,,Mavi,Sedan,,,,320d Standart,,,,,Dizel,,Galeriden,27070731, Aydın,,136 hp,,,,485.000 TL
,197.000 km,2011,,İkinci El,21 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"2 değişen, 1 boyalı",1596 cc,Takasa Uygun,Otomatik,Yeni Mh. Didim,BMW,,Füme,Sedan,,,,316i Comfort,,,,,LPG & Benzin,,Galeriden,27070700, Aydın,,116 hp,,,,885.000 TL
,163.000 km,2016,,İkinci El,21 Kasım 2024,,Unspecified,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1401 - 1600 cm3,Takasa Uygun,Otomatik,Şeyh Şamil Mh. Selçuklu,BMW,,Beyaz,Sedan,,,,320i ED 40th Year Edition,,,,,Benzin,,Galeriden,26970679, Konya,,151 - 175 HP,,,,1.480.000 TL
,163.000 km,2018,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1499 cc,Takasa Uygun,Otomatik,Kuvvetli Mh. Ödemiş,BMW,,Beyaz,Sedan,,,,318i Edition Sport Line,,,,,Benzin,,Galeriden,26964771, İzmir,,136 hp,,,,1.299.750 TL
,307.000 km,2011,,İkinci El,21 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,3 boyalı,1995 cc,Takasa Uygun,Otomatik,Plevne Mh. Altıeylül,BMW,,Siyah,Sedan,,,,320d Standart,,,,,Dizel,,Galeriden,26342470, Balıkesir,,184 hp,,,,765.000 TL
,275.000 km,2012,,İkinci El,21 Kasım 2024,,Unspecified,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 7 boyalı",1801 - 2000 cm3,Takasa Uygun,Otomatik,Fevziçakmak Mh. Karatay,BMW,,Beyaz,Sedan,,,,320d M Sport,,,,,Dizel,,Galeriden,26963235, Konya,,176 - 200 HP,,,,890.000 TL
,171.000 km,2015,,İkinci El,21 Kasım 2024,,Unspecified,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 1 boyalı",1401 - 1600 cm3,Takasa Uygun,Otomatik,Kepez Mh. Kepez,BMW,,Siyah,Sedan,,,,320i ED 40th Year Edition,,,,,Benzin,,Galeriden,26649172, Antalya,,151 - 175 HP,,,,1.419.750 TL
,332.500 km,2005,,İkinci El,20 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"2 değişen, 10 boyalı",1995 cc,Takasa Uygun Değil,Otomatik,Karapınar Mh. Yıldırım,BMW,,Siyah,Sedan,,,,320d Premium,,,,,Dizel,,Sahibinden,27114566, Bursa,,163 hp,,,,515.000 TL
,226.672 km,1997,,İkinci El,20 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1596 cc,Takasa Uygun,Düz,Gazipaşa Mh. Dikili,BMW,,Bordo,Sedan,,,,316i Standart,,,,,Benzin,,Sahibinden,25760914, İzmir,,102 hp,,,,510.000 TL
,189.000 km,2013,,İkinci El,20 Kasım 2024,,57 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1995 cc,Unspecified,Otomatik,Barbaros Hayrettinpaşa Mh. Gaziosmanpaşa,BMW,,Beyaz,Sedan,,,,320d Standart,,,,,Dizel,,Sahibinden,25953152, İstanbul,,184 hp,,,,1.065.000 TL
,19.000 km,2022,,İkinci El,20 Kasım 2024,,Unspecified,,,,,,,Unspecified,,,Unspecified,,3 Serisi,Tamamı orjinal,Unspecified,Unspecified,Otomatik,Şenlikköy Mh. Bakırköy,BMW,,Siyah,Sedan,,,,320i 50th Year M Edition,,,,,Benzin,,Sahibinden,27109275, İstanbul,,Unspecified,,,,3.000.000 TL
,161.000 km,2011,,İkinci El,20 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1995 cc,Unspecified,Otomatik,Vişnelik Mh. Odunpazarı,BMW,,Siyah,Sedan,,,,320d Comfort,,,,,Dizel,,Sahibinden,27107854, Eskişehir,,184 hp,,,,975.000 TL
,400.000 km,1998,,İkinci El,20 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1796 cc,Unspecified,Düz,Karacaören Mh. Altındağ,BMW,,Gri (metalik),Sedan,,,,318is,,,,,LPG & Benzin,,Sahibinden,27107710, Ankara,,140 hp,,,,420.000 TL
,200.000 km,2008,,İkinci El,20 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1995 cc,Unspecified,Otomatik,Ekin Mh. Mamak,BMW,,Beyaz,Sedan,,,,320i Premium,,,,,Benzin,,Sahibinden,27105920, Ankara,,170 hp,,,,760.000 TL
,500.000 km,1997,,İkinci El,20 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 12 boyalı",1596 cc,Takasa Uygun Değil,Otomatik,Deniz Mh. Samandağ,BMW,,Mavi,Sedan,,,,316i Standart,,,,,LPG & Benzin,,Sahibinden,27105261, Hatay,,102 hp,,,,380.000 TL
,150.000 km,2005,,İkinci El,20 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,5 boyalı,1596 cc,Unspecified,Düz,Kızılpınar Mh. Çerkezköy,BMW,,Siyah,Sedan,,,,316i Standart,,,,,LPG & Benzin,,Sahibinden,27105229, Tekirdağ,,115 hp,,,,585.000 TL
,120.000 km,2017,,İkinci El,20 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1499 cc,Takasa Uygun,Otomatik,Hacıbekir Mh. İpekyolu,BMW,,Beyaz,Sedan,,,,318i Prestige,,,,,Benzin,,Sahibinden,27105047, Van,,136 hp,,,,1.450.000 TL
,123.000 km,2021,,İkinci El,20 Kasım 2024,,59 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1597 cc,Unspecified,Otomatik,Emniyettepe Mh. Eyüpsultan,BMW,,Beyaz,Sedan,,,,320i First Edition Sport Line,,,,,Benzin,,Sahibinden,27104671, İstanbul,,170 hp,,,,2.250.000 TL
,235.000 km,2001,,İkinci El,20 Kasım 2024,,63 lt,,,,,,,4WD (Sürekli),,,Unspecified,,3 Serisi,Belirtilmemiş,2494 cc,Unspecified,Otomatik,Orhangazi Mh. Sultanbeyli,BMW,,Siyah,Sedan,,,,325xi Standart,,,,,LPG & Benzin,,Sahibinden,27104279, İstanbul,,192 hp,,,,575.000 TL
,323.000 km,2013,,İkinci El,20 Kasım 2024,,57 lt,,,,,,,4WD (Sürekli),,,Unspecified,,3 Serisi,"1 değişen, 2 boyalı",1995 cc,Unspecified,Otomatik,Akçay Mh. Edremit,BMW,,Beyaz,Sedan,,,,320d xDrive M Sport,,,,,Dizel,,Sahibinden,27104234, Balıkesir,,184 hp,,,,1.095.000 TL
,356.000 km,1995,,İkinci El,20 Kasım 2024,,Unspecified,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,Unspecified,Unspecified,Düz,İğneada Beldesi (Yeni Mh.) Demirköy,BMW,,Kırmızı,Sedan,,,,318i Standart,,,,,LPG & Benzin,,Sahibinden,27078828, Kırklareli,,Unspecified,,,,250.000 TL
,373.000 km,1999,,İkinci El,20 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1951 cc,Takasa Uygun,Düz,Orta Mh. Hacılar,BMW,,Yeşil,Sedan,,,,320d Standart,,,,,Dizel,,Sahibinden,27101966, Kayseri,,136 hp,,,,350.000 TL
,90.000 km,2013,,İkinci El,20 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,1 boyalı,1598 cc,Takasa Uygun,Otomatik,Yenice Mh. Merkez,BMW,,Beyaz,Sedan,,,,320i ED Sport Line,,,,,Benzin,,Galeriden,26955211, Afyonkarahisar,,170 hp,,,,1.239.000 TL
,322.000 km,2011,,Unspecified,20 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1995 cc,Takasa Uygun,Otomatik,Uçarı Mh. Ilgın,BMW,,Beyaz,Sedan,,,,320d Edition Comfort,,,,,Dizel,,Galeriden,23560240, Konya,,184 hp,,,,1.100.000 TL
,330.000 km,2001,,İkinci El,20 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,10 boyalı,2979 cc,Takasa Uygun,Düz,Karacaahmet Mh. Şehitkamil,BMW,,Gri (Gümüş),Sedan,,,,330i Standart,,,,,LPG & Benzin,,Galeriden,25734312, Gaziantep,,231 hp,,,,479.999 TL
,210.000 km,2010,,İkinci El,20 Kasım 2024,,60 lt,,,,,,,4WD (Sürekli),,,Unspecified,,3 Serisi,3 değişen,1995 cc,Takasa Uygun,Otomatik,Kepez Mh. Kepez,BMW,,Siyah,Sedan,,,,320d xDrive Standart,,,,,Dizel,,Galeriden,26619585, Antalya,,177 hp,,,,799.750 TL
,255.000 km,2001,,Unspecified,20 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1951 cc,Takasa Uygun,Düz,İhsaniye Mh. Akdeniz,BMW,,Diğer,Sedan,,,,320d Standart,,,,,Dizel,,Galeriden,24197204, Mersin,,136 hp,,,,390.000 TL
,163.000 km,2014,,İkinci El,19 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1598 cc,Unspecified,Otomatik,İhsaniye Mh. Eyüpsultan,BMW,,Mavi (metalik),Sedan,,,,320i ED Standart,,,,,Benzin,,Sahibinden,26484371, İstanbul,,170 hp,,,,1.200.000 TL
,108.000 km,2009,,İkinci El,19 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,4 boyalı,1597 cc,Takasa Uygun Değil,Düz,Piri Reis Mh. Esenyurt,BMW,,Siyah,Sedan,,,,316i Premium,,,,,Benzin,,Sahibinden,27102825, İstanbul,,122 hp,,,,810.000 TL
,251.000 km,2012,,İkinci El,19 Kasım 2024,,57 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 5 boyalı",1995 cc,Takasa Uygun,Otomatik,100. Yıl Mh. Bağcılar,BMW,,Beyaz,Sedan,,,,320d M Sport,,,,,Dizel,,Sahibinden,27099546, İstanbul,,184 hp,,,,845.000 TL
,268.000 km,2004,,İkinci El,19 Kasım 2024,,Unspecified,,,,,,,Unspecified,,,Unspecified,,3 Serisi,Belirtilmemiş,Unspecified,Takasa Uygun Değil,Düz,Abdurrahmangazi Mh. Sultanbeyli,BMW,,Siyah,Sedan,,,,316i Standart,,,,,Benzin,,Sahibinden,27098538, İstanbul,,Unspecified,,,,530.000 TL
,300.000 km,1994,,İkinci El,19 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1596 cc,Takasa Uygun Değil,Düz,Seğmenler Mh. Gölbaşı,BMW,,Beyaz,Coupe,,,,316i Standart,,,,,LPG & Benzin,,Sahibinden,27095430, Ankara,,102 hp,,,,220.000 TL
,210.000 km,2017,,İkinci El,19 Kasım 2024,,57 lt,,,,,,,4WD (Sürekli),,,Unspecified,,3 Serisi,1 boyalı,1995 cc,Unspecified,Otomatik,Belde Mh. Merkez,BMW,,Beyaz,Sedan,,,,320d xDrive Sport Line,,,,,Dizel,,Sahibinden,27094464, Batman,,190 hp,,,,1.550.000 TL
,272.500 km,2010,,İkinci El,19 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1995 cc,Takasa Uygun Değil,Otomatik,Karaağaç Mh. Arsuz,BMW,,Siyah,Sedan,,,,320d Premium,,,,,Dizel,,Sahibinden,27093706, Hatay,,177 hp,,,,839.000 TL
,335.000 km,1996,,İkinci El,19 Kasım 2024,,65 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1991 cc,Unspecified,Düz,Buca Koop. Mh. Buca,BMW,,Bordo,Sedan,,,,320i,,,,,LPG & Benzin,,Sahibinden,27093907, İzmir,,150 hp,,,,427.000 TL
,198.000 km,2008,,İkinci El,19 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,1 boyalı,1995 cc,Takasa Uygun Değil,Otomatik,Kazım Karabekir Mh. Ümraniye,BMW,,Gri,Sedan,,,,318i Standart,,,,,LPG & Benzin,,Sahibinden,27093523, İstanbul,,143 hp,,,,710.000 TL
,465.000 km,2005,,İkinci El,19 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1796 cc,Unspecified,Düz,Bağlar Mh. Merkez,BMW,,Mavi,Sedan,,,,316i Standart,,,,,LPG & Benzin,,Sahibinden,27091596, Isparta,,116 hp,,,,407.000 TL
,37.000 km,2020,,İkinci El,19 Kasım 2024,,59 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Tamamı orjinal,1597 cc,Takasa Uygun,Otomatik,İvedik OSB Yenimahalle,BMW,,Mavi,Sedan,,,,320i First Edition M Sport,,,,,Benzin,,Galeriden,26943551, Ankara,,170 hp,,,,2.615.000 TL
,330.000 km,1997,,İkinci El,19 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1596 cc,Takasa Uygun,Düz,Karşıyaka Mh. Alaplı,BMW,,Lacivert,Hatchback/3,,,,316i Compact,,,,,LPG & Benzin,,Galeriden,26367750, Zonguldak,,102 hp,,,,270.000 TL
,139.000 km,2014,,İkinci El,18 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,5 boyalı,1598 cc,Unspecified,Otomatik,Bayramoğlu Mh. Darıca,BMW,,Siyah,Sedan,,,,320i ED Sport Line,,,,,Benzin,,Sahibinden,25900662, Kocaeli,,170 hp,,,,1.215.000 TL
,277.000 km,2007,,İkinci El,18 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 4 boyalı",1597 cc,Unspecified,Düz,Gaziosmanpaşa Mh. Altıeylül,BMW,,Siyah,Sedan,,,,316i Standart,,,,,LPG & Benzin,,Sahibinden,27089472, Balıkesir,,122 hp,,,,630.000 TL
,283.000 km,2011,,İkinci El,18 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 4 boyalı",1995 cc,Takasa Uygun Değil,Otomatik,Şükrüpaşa Mh. Merkez,BMW,,Beyaz,Sedan,,,,320d Comfort,,,,,Dizel,,Sahibinden,27089377, Edirne,,184 hp,,,,805.000 TL
,230.000 km,2014,,İkinci El,18 Kasım 2024,,57 lt,,,,,,,4WD (Sürekli),,,Unspecified,,3 Serisi,"1 değişen, 3 boyalı",1995 cc,Unspecified,Otomatik,İzzetbey Mh. Çumra,BMW,,Beyaz,Hatchback/5,,,,320d xDrive GT M Sport,,,,,Dizel,,Sahibinden,27088478, Konya,,184 hp,,,,1.400.000 TL
,109.000 km,2008,,İkinci El,18 Kasım 2024,,63 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,"1 değişen, 3 boyalı",1995 cc,Unspecified,Otomatik,Anadolu Hisarı Mh. Beykoz,BMW,,Gri (metalik),Coupe,,,,320i Coupe,,,,,Benzin,,Sahibinden,27082916, İstanbul,,170 hp,,,,1.100.000 TL
,222.000 km,2014,,İkinci El,18 Kasım 2024,,60 lt,,,,,,,Arkadan İtiş,,,Unspecified,,3 Serisi,Belirtilmemiş,1598 cc,Unspecified,Otomatik,Kızılırmak Mh. Zara,BMW,,Beyaz,Sedan,,,,316i Comfort,,,,,Benzin,,Sahibinden,27086307, Sivas,,136 hp,,,,1.050.000 TL
